Month-Year,SENADOR,VALOR_REEMBOLSADO,Contagem_Mes
2009-10-01,ADELMIR SANTANA,14850.0,7
2009-10-01,ALMEIDA LIMA,7234.82,7
2009-10-01,ALOIZIO MERCADANTE,9552.11,7
2009-10-01,ANTONIO CARLOS JUNIOR,15227.86,7
2009-10-01,ANTÔNIO CARLOS VALADARES,16794.0,7
2009-10-01,ARTHUR VIRGÍLIO,18600.0,7
2009-10-01,AUGUSTO BOTELHO,9804.31,7
2009-10-01,CRISTOVAM BUARQUE,12298.39,7
2009-10-01,CÉSAR BORGES,14989.26,7
2009-10-01,CÍCERO LUCENA,14991.529999999999,7
2009-10-01,DELCIDIO DO AMARAL,14960.65,7
2009-10-01,DEMÓSTENES TORRES,14999.999999999998,7
2009-10-01,EDUARDO AZEREDO,15731.72,7
2009-10-01,EDUARDO SUPLICY,3471.3199999999997,7
2009-10-01,EFRAIM MORAIS,30940.76,7
2009-10-01,ELISEU RESENDE,18552.74,7
2009-10-01,EPITÁCIO CAFETEIRA,10619.92,7
2009-10-01,EXPEDITO JUNIOR,14500.0,7
2009-10-01,FERNANDO COLLOR,15221.34,7
2009-10-01,FLEXA RIBEIRO,14417.07,7
2009-10-01,FLÁVIO ARNS,9903.76,7
2009-10-01,FLÁVIO TORRES,12940.34,4
2009-10-01,FRANCISCO DORNELLES,15226.23,7
2009-10-01,FÁTIMA CLEIDE,14888.78,7
2009-10-01,GARIBALDI ALVES FILHO,19410.28,7
2009-10-01,GERALDO MESQUITA JÚNIOR,20408.71,7
2009-10-01,GERSON CAMATA,4574.58,7
2009-10-01,GILBERTO GOELLNER,15517.22,7
2009-10-01,GILVAM BORGES,15000.0,7
2009-10-01,GIM ARGELLO,12000.0,7
2009-10-01,HERÁCLITO FORTES,17936.09,7
2009-10-01,IDELI SALVATTI,15404.460000000001,7
2009-10-01,INÁCIO ARRUDA,20138.14,7
2009-10-01,JARBAS VASCONCELOS,13634.74,7
2009-10-01,JEFFERSON PRAIA,23447.27,3
2009-10-01,JOSÉ AGRIPINO,9964.1,7
2009-10-01,JOSÉ NERY,14432.56,7
2009-10-01,JOSÉ SARNEY,5000.0,7
2009-10-01,JOÃO DURVAL,9998.87,7
2009-10-01,JOÃO PEDRO,20813.5,7
2009-10-01,JOÃO RIBEIRO,13000.0,7
2009-10-01,JOÃO TENÓRIO,1320.0,3
2009-10-01,JOÃO VICENTE CLAUDINO,15824.970000000001,7
2009-10-01,KÁTIA ABREU,15000.0,7
2009-10-01,LOBÃO FILHO,14900.0,7
2009-10-01,LÚCIA VÂNIA,15090.820000000002,7
2009-10-01,MAGNO MALTA,8028.889999999999,7
2009-10-01,MARCELO CRIVELLA,14416.460000000001,7
2009-10-01,MARCONI PERILLO,13327.51,7
